MODE,Mode Description,STAGE (min),STAGE (max),AGE (min) Ga,AGE (max) Ga,AGE (average) Ga,Temp (min) K,Temp (max) K,Temp (average) K,P (min) log Pa,P (max) log Pa,P (average log Pa),DUR (min) log Yr,DUR (max) log Yr,DUR (average log Yr),# Minerals,# Elements,Aqueous?,Biotic?,ChemIG Atom,ChemIG Total,StrIG Atom,StrIG Total,Hardness (HoM),Hardness (Web Max),Hardness (Average),Calc Density (gm/cm3),Web Density (gm/cm3),Density (Average)
P01,Stellar condensation,0,0,7,4.6,5.8,1000,3000,2000,1,3,2,0,6,3,22,16,0,0,0.775,5.21,1.247,37.32,6,6.3333333333333,6.17,5.7582272727273,,5.96
P02,Interstellar condensation,1,1,4.567,4.567,4.567,10,20,15,-11,-9,-10,0,6,3,8,5,0,0,,,,,,,,0.93,,0.93
P03,Solar nebula condensation,1,1,4.566,4.566,4.566,1100,1800,1450,-1,3,1,0,6,3,48,24,0,0,1.168,13.63,2.138,103.55,6.85,6.8181818181818,6.83,5.09325,3.6128571428571,4.35
P04,Primary chondrule phases,1,1,4.566,4.561,4.564,1000,1500,1250,1,3,2,0,4,2,47,20,0,0,1.17,14.83,2.084,89.43,5.7,5.304347826087,5.5,4.1772631578947,3.05875,3.62
P05,Primary asteroid phases,2,2,4.566,4.56,4.563,1000,1500,1250,3,8,5.5,0,6,3,94,24,0,0,1.234,23.15,2.197,110.17,5.5806451612903,5.3947368421053,5.49,4.216,3.4095238095238,3.81
P06,Secondary asteroid phases,2,2,4.565,4.55,4.561,200,1000,600,3,8,5.5,0,6,3,205,37,1,0,1.304,26.79,2.308,139.99,4.9233333333333,4.8287671232877,4.88,4.507357615894,3.1810810810811,3.84
P07,Ultramafic igneous rocks,3,5,4.56,0,2.28,1300,2000,1650,5,9,7,0,3,1.5,123,44,0,0,1.357,28.82,2.312,113.86,5.6071428571429,5.5,5.54,5.7721063829787,3.334347826087,4.55
P08,Mafic igneous rocks,3,5,4.56,0,2.28,1100,1700,1400,5,9,7,0,3,1.5,93,28,0,0,1.631,51.37,2.948,172.39,5.5058139534884,5.5294117647059,5.52,3.9515942028986,3.3506451612903,3.65
P09,Xenolith pyrometamorphism,3,10,4.56,0,2.28,1100,1700,1400,5,5,5,-1,2,0.5,127,35,0,0,1.64,73.8,3.446,331.27,5.2327586206897,5.1702127659574,5.2,3.0283055555556,2.9810638297872,3
P10,Basalt-hosted zeolite minerals,3,10,4.56,0,2.28,300,700,500,5,5,5,0,1,0.5,107,26,0,0,1.714,161.88,3.955,705.26,4.9230769230769,4.5394736842105,4.73,2.5306086956522,2.4724324324324,2.5
P11,Reduced fumarole minerals ,3,10,4.56,2.5,3.53,400,1000,700,5,5,5,-2,-1,-1.5,36,22,0,0,1.163,14.374,2.158,76.66,3.359375,3.3235294117647,3.34,5.6148965517241,4.815,5.22
P12,Hadean hydrothermal minerals,3,5,4.56,4,4.28,350,600,475,5,6,5.5,0,3,1.5,129,34,1,0,1.28,26.55,2.199,116.19,3.9782608695652,3.8867924528302,3.93,6.0266330275229,5.28625,5.66
P13,Serpentinization,3,5,4.56,0,2.28,300,600,450,5,6,5.5,0,1,0.5,67,23,1,0,1.555,72.89,3.175,362.8,4.1190476190476,3.6086956521739,3.86,3.5852807017544,3.0866666666667,3.34
P14,Hot springs/geysers,3,10,4.56,0,2.28,400,700,550,5,5,5,0,1,0.5,61,25,1,0,1.472,71.34,3.383,301.29,3.9779411764706,3.8676470588235,3.92,3.2031346153846,2.7236666666667,2.96
P15,Balck/white smokers,3,10,4.56,0,2.28,400,700,550,5,6,5.5,0,3,1.5,32,18,1,0,1.195,18.72,2.225,173.83,4.1052631578947,3.9166666666667,4.01,4.7527666666667,4.514,4.63
P16,"Low-T aqueous alteration, Hadean",3,3,4.56,4,4.28,250,350,300,5,6,5.5,0,3,1.5,83,21,1,0,1.784,120.8,4.063,353.5,4.5135135135135,3.8023255813953,4.16,2.6207777777778,2.5955319148936,2.61
P17,Marine authigenesis,3,10,4.56,0,2.28,250,350,300,5,6,5.5,0,3,1.5,51,13,1,0,1.635,74.057,3.51,392.95,4.8173076923077,4.6666666666667,4.74,2.813,2.5033333333333,2.66
P18,Freezing,3,10,4.56,0,2.28,250,270,260,5,5,5,-4,-3,-3.5,4,7,1,0,1.394,31,2.834,116.75,,,,1.44425,1.74,1.59
P19,Granitic intrusive rocks,4,10,4.55,0,2.28,700,1100,900,6,8,7,3,6,4.5,143,39,0,0,1.633,49.47,3.112,158.98,5.9798387096774,5.7142857142857,5.85,3.6538018867925,3.45,3.55
P20,Acidic volcanic rocks,4,10,4.55,0,2.28,700,1100,900,5,6,5.5,0,1,0.5,45,22,0,0,1.642,40.911,2.921,114.66,5.5681818181818,5.4736842105263,5.52,3.33125,3.2028571428571,3.27
P21,Chemical precipitation,3,10,4.56,0,28,250,350,300,5,7,6,0,3,1.5,79,28,1,0,1.63,54.81,3.745,362.13,3.8402777777778,3.7575757575758,3.8,2.9260571428571,2.7674285714286,2.85
P22,"Low-T aqueous alteration, Post-Hadean",3,10,4,0,2,250,350,300,5,6,5.5,0,3,1.5,247,40,1,0,1.772,82.327,3.884,314.61,4.8668831168831,4.2635135135135,4.57,3.1613387978142,2.9613265306122,3.06
P23,"Subaerial aqueous alteration, Anoxic",3,10,4.56,2.5,3.53,250,350,300,5,6,5.5,0,3,1.5,398,51,1,0,1.663,57.918,3.366,243.25,4.8390977443609,4.5550847457627,4.7,3.9016656626506,3.5131111111111,3.71
P24,Terrestrial authigenesis,3,10,4.56,0,2.28,250,350,300,5,6,5.5,0,1,0.5,74,21,1,0,1.561,80.5,3.232,288.77,4.6689189189189,4.2162162162162,4.44,2.9551166666667,2.5354285714286,2.75
