"mineral name","point group","space group"
"Aerinite","3mm","P3c1"
"Aerugite","32/m2/m","R3m"
"Aerugite","32/m2/m","R3m"
"Aeschynite-(Ce)"," "," "
"Aeschynite-(Nd)","2/m2/m2/m","Pbmn"
"Aeschynite-(Nd)","2/m2/m2/m","Pncm"
"Aeschynite-(Y)"," "," "
"Aeschynite-(Y)"," "," "
"Aeschynite-(Y)","2/m2/m2/m","Pnma"
"Aeschynite-(Y)","2/m2/m2/m","Pnma"
"Aeschynite-(Y)","2/m2/m2/m","Pnma"
"Aeschynite-(Y)","2/m2/m2/m","Pnma"
"Aeschynite-(Y)","2/m2/m2/m","Pnma"
"Afghanite"," "," "
"Afghanite"," "," "
"Afghanite"," "," "
"Afghanite","3mm","P31c"
"Afghanite","3mm","P31c"
"Afmite"," "," "
"Afmite",1,"P1"
"Afwillite","m","Cc"
"Afwillite"," "," "
"Afwillite"," "," "
"Afwillite"," "," "
"Afwillite",1,"P1"
"Afwillite","m","Cc"
"Afwillite","m","Cc"
"Agaite","2mm","Pca21"
"Agaite","2mm","Pca21"
"Agakhanovite-(Y)","6/m2/m2/m","P6/mcc"
"Agakhanovite-(Y)","6/m2/m2/m","P6/mcc"
"Agardite-(Ce)","6/m","P63/m"
"Agardite-(Ce)","6/m","P63/m"
"Agardite-(La)","6/m","P63/m"
"Agardite-(Nd)","6/m","P63/m"
"Agardite-(Y)","6/m","P63/m"
"Agardite-(Y)"," "," "
"Agardite-(Y)"," "," "
"Agardite-(Y)"," "," "
"Agardite-(Y)"," "," "
"Agardite-(Y)","6/m","P63/m"
"Agmantinite","m","Pn"
"Agmantinite","2mm","P21nm"
"Agrellite"," "," "
"Agrellite"," "," "
"Agrellite",1,"P1"
"Agrellite",1,"P1"
"Agricolaite","2/m","C2/c"
"Agricolaite","2/m","C2/c"
"Agricolaite","2/m","C2/c"
"Agrinierite"," "," "
"Agrinierite"," "," "
"Agrinierite","2mm","F2mm"
"Aguilarite",222,"P212121"
"Aguilarite","2/m","P21/n"
"Aguilarite","2/m","P21/n"
"Aguilarite","2/m","P21/n"
"Aguilarite","2/m","P21/n"
"Aheylite",1,"P1"
"Ahlfeldite","2/m","P21/n"
"Ahlfeldite"," "," "
"Ahlfeldite","2/m","P21/n"
"Ahlfeldite","2/m","P21/n"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
