,mineral name,point group,space group
851,Amstallite,2/m,C2/c
856,Analcime,4/m32/m,Ia3d
857,Analcime,2/m,I2/a
858,Analcime,4/m,I41/a
859,Analcime,3,R3
862,Analcime,4/m2/m2/m,I41/acd
868,Analcime,1,P1
874,Analcime,2/m2/m2/m,Ibca
880,Anandite,m,Am
881,Anandite,2/m2/m2/m,Pnmn
884,Anapaite,1,P1
886,Anastasenkoite,1,P1
891,Anatase,4/m2/m2/m,I41/amd
898,Anatolyite,32/m2/m,R3c
900,Ancylite-(Ce),2mm,Pmc21
901,Ancylite-(Ce),2/m2/m2/m,Pmcn
903,Ancylite-(La),2/m2/m2/m,Pmcn
910,Andalusite,2/m2/m2/m,Pnnm
930,Andersonite,32/m2/m,R3m
931,Andorite IV,2mm,Pm2a
932,Andorite IV,2/m,P21/c
936,Andorite VI,2mm,Pn21a
937,Andorite VI,2/m2/m2/m,Bbmm
951,Andradite,4/m32/m,Ia3d
961,Andradite,1,I1
987,Andreadiniite,2/m,P21/c
988,Andremeyerite,2/m2/m2/m,Bmcb
989,Andremeyerite,2/m,P21/c
991,Andreyivanovite,2/m2/m2/m,Pnma
992,Andrianovite,32/m2/m,R3m
993,Andrianovite,3mm,R3m
994,Anduoite,2/m2/m2/m,Pnnm
997,Andychristyite,1,P1
998,Andymcdonaldite,4/m2/m2/m,P42/mnm
1000,Andyrobertsite,2/m,P21/m
1001,Angarfite,222,C2221
1003,Angastonite,1,P1
1009,Angelaite,2/m2/m2/m,Pnma
1011,Angelellite,1,P1
1015,Anglesite,2/m2/m2/m,Pnma
1016,Anglesite,2/m2/m2/m,Pbnm
1019,Anhydrite,2/m2/m2/m,Bmmb
1033,Anhydrite,622,P6222
1034,Anhydrite,222,C222
1038,Anhydrite,2/m2/m2/m,Bbmm
1040,Anhydrite,2/m2/m2/m,Amma
1050,Anhydrokainite,3,R3
1053,Anilite,2/m2/m2/m,Pnma
1056,Ankerite,3,R3
1064,Ankinovichite,2/m,P21/n
1067,Annabergite,2/m,C2/m
1075,Annite,2/m,C2/m
1090,Anorpiment,1,P1
1091,Anorthite,1,P1
1110,Anorthite,1,I1
1130,Anorthite,1,C1
1176,Anorthominasragrite,1,P1
1178,Ansermetite,2/m,C2/c
1180,Antarcticite,322,P321
1182,Anthoinite,1,I1
1183,Anthophyllite,2/m2/m2/m,Pnma
1193,Antigorite,m,Pm
1194,Antigorite,2/m,C2/m
1196,Antimonselite,2/m2/m2/m,Pbnm
1198,Antimonselite,2/m2/m2/m,Pnma
1201,Antimony,32/m2/m,R3m
1206,Antimony,6/m2/m2/m,P63/mmc
1207,Antimony,4/m32/m,Pm3m
1208,Antimony,4/m32/m,Fm3m
1209,Antimony,4/m2/m2/m,I4/mmm
1214,Antimony,4/m32/m,Im3m
1220,Antipinite,1,P1
1224,Antlerite,2/m2/m2/m,Pnma
1226,Antofagastaite,2/m,P21/m
1227,Anyuiite,4/m2/m2/m,I4/mcm
1230,Anzaite-(Ce),2/m,C2/m
1232,Apexite,1,P1
1235,Aphthitalite,32/m2/m,P3m1
1238,Apjohnite,2/m,P21/c
1239,Aplowite,2/m,P21/n
1241,Apuanite,4/m2/m2/m,P42/mbc
1244,Aqualite,3,R3
1247,Aradite,32/m2/m,R3m
1249,Aragonite,2/m2/m2/m,Pmcn
1315,Arakiite,m,Cc
1320,Aramayoite,1,P1
1321,Arangasite,2/m,P2/a
1322,Arangasite,2,P21
1324,Arapovite,4/m2/m2/m,P4/mcc
1330,Aravaipaite,2/m,P21/n
1331,Aravaipaite,1,P1
1332,Aravaite,32/m2/m,R3m
1334,Arcanite,2/m2/m2/m,Pnam
1336,Archerite,42m,I42d
1342,Archerite,2mm,Fdd2
1343,Archerite,42m,F4d2
1346,Arctite,32/m2/m,R3m
1350,Ardealite,m,Cc
1352,Ardennite-(As),2/m2/m2/m,Pnmm
1355,Ardennite-(V),2/m2/m2/m,Pnmm
1359,Arfvedsonite,2/m,C2/m
1363,Argandite,2/m,P21/n
1369,Argentodufrenoysite,1,P1
1372,Argentojarosite,32/m2/m,R3m
1373,Argentoliveingite,1,P1
1374,Argentopearceite,322,P321
1375,Argentopentlandite,4/m32/m,Fm3m
1377,Argentopolybasite-T2ac,322,P321
1380,Argentopyrite,2/m,P21/n
1381,Argentotennantite-(Zn),43m,I43m
1382,Argentotetrahedrite-(Fe),43m,I43m
1385,Argentotetrahedrite-(Hg),43m,I43m
1386,Argentotetrahedrite-(Zn),43m,I43m
1388,Argesite,32/m2/m,R3c
1389,Argutite,4/m2/m2/m,P42/mnm
1405,Argyrodite,2mm,Pna21
1406,Arhbarite,1,P1
1409,Ariegilatite,32/m2/m,R3m
1410,Arisite-(Ce),62m,P6m2
1412,Arisite-(La),62m,P6m2
1415,Aristarainite,2/m,P21/a
1419,Armalcolite,2/m2/m2/m,Bbmm
1457,Armangite,3,P3
1458,Armbrusterite,2/m,C2/m
1459,Armellinoite-(Ce),4/m,I41/a
1460,Armenite,2/m2/m2/m,Pnna
1461,Armenite,2mm,Pnc2
1462,Armstrongite,2/m,C2/m
1463,Armstrongite,2,C2
1466,Arrheniusite-(Ce),3mm,R3m
1467,Arrojadite-(BaNa),2/m,C2/c
1470,Arrojadite-(KFe),2/m,B2/b
1471,Arrojadite-(KFe),2/m,A2/a
1473,Arrojadite-(KFe),2/m,C2/c
1475,Arrojadite-(KNa),m,Cc
1478,Arrojadite-(PbFe),m,Cc
1479,Arrojadite-(SrFe),m,Cc
1480,Arsenatrotitanite,2/m,C2/c
1481,Arsenbrackebuschite,2/m,P21/m
1484,Arsendescloizite,222,P212121
1488,Arsenic,32/m2/m,R3m
1494,Arseniopleite,2/m,I2/a
1495,Arseniosiderite,2/m,A2/a
1498,Arsenmarcobaldiite,1,P1
1499,Arsenmedaite,2/m,P21/n
1501,Arsenoclasite,222,P212121
1502,Arsenocrandallite,32/m2/m,R3m
1506,Arsenoflorencite-(Ce),3mm,R3m
1507,Arsenoflorencite-(La),32/m2/m,R3m
1512,Arsenogorceixite,32/m2/m,R3m
1514,Arsenogoyazite,32/m2/m,R3m
1515,Arsenohauchecornite,4/m2/m2/m,P4/mmm
1516,Arsenohauchecornite,4/m2/m2/m,I4/mmm
1517,Arsenohopeite,2/m2/m2/m,Pnma
1519,Arsenolamprite,2/m2/m2/m,Bmab
1523,Arsenolite,4/m32/m,Fd3m
1526,Arsenopalladinite,1,P1
1533,Arsenopyrite,2/m,B21/d
1534,Arsenopyrite,2/m,C21/d
1535,Arsenopyrite,2/m,P21/c
1536,Arsenopyrite,1,P1
1538,Arsenotucekite,4/m2/m2/m,I4/mmm
1539,Arsenovanmeersscheite,2mm,P21mn
1540,Arsenoveszelyite,2/m,P21/c
1541,Arsenowagnerite,2/m,P21/c
1542,Arsenquatrandorite,2/m,P21/c
1546,Arsentsumebite,2/m,P21/m
1547,Arsenudinaite,42m,I42d
1548,Arsenuranospathite,2/m2/m2/m,Pmmm
1549,Arsenuranospathite,4/m,P42/n
1553,Arsenuranylite,2/m2/m2/m,Bmmb
1554,Arsiccioite,42m,I42m
1557,Arsmirandite,2/m,C2/m
1560,Arthurite,2/m,P21/c
1563,Artinite,2/m,C2/m
1565,Artroeite,1,P1
1566,Artsmithite,2/m,C2/c
1568,Arupite,2/m,I2/m
1569,Arupite,2/m,C2/m
1572,Asbecasite,32/m2/m,P3c1
1582,Aschamalmite,2/m,C2/m
1586,Ashburtonite,4/m,I4/m
1589,Ashcroftine-(Y),4/m2/m2/m,I4/mmm
1591,Ashoverite,4/m2/m2/m,I41/amd
1592,Asimowite,2/m2/m2/m,Imma
1594,Asisite,4/m2/m2/m,I4/mmm
1596,Askagenite-(Nd),2/m,P21/m
1597,Aspedamite,332/m,Im3
1599,Aspidolite,2/m,C2/m
1600,Aspidolite,1,C1
1603,Asselbornite,4/m32/m,Im3m
1608,Astrophyllite,1,P1
1615,Astrophyllite,2/m,C2/m
1616,Astrophyllite,1,A1
1618,Atacamite,2/m2/m2/m,Pnma
1620,Atacamite,2/m2/m2/m,Pnam
1622,Atelestite,2/m,P21/c
1624,Atelisite-(Y),42m,I42d
1627,Atencioite,1,P1
1631,Atheneite,6/m2/m2/m,P6/mmm
1632,Atheneite,62m,P62m
1633,Atlasovite,4/m2/m2/m,P4/ncc
1634,Atokite,4/m32/m,Pm3m
1635,Atokite,4/m32/m,Fm3m
1637,Attakolite,2/m,C2/m
1639,Aubertite,1,P1
1642,Auerbakhite,2/m2/m2/m,Cmca
1647,Augelite,2/m,C2/m
1648,Augite,2/m,C2/c
1684,Auriacusite,2/m2/m2/m,Pnnm
1687,Aurichalcite,2/m,P21/m
1688,Auricupride,4/m32/m,Pm3m
1690,Aurihydrargyrumite,6/m2/m2/m,P63/mcm
1691,Aurivilliusite,2/m,C2/c
1693,Aurorite,3,R3
1695,Aurostibite,332/m,Pa3
1700,Austinite,222,P212121
1702,Autunite,2/m2/m2/m,Pnma
1703,Avdeevite,6/m2/m2/m,P6/mcc
1705,Averievite,3,P3
1706,Avicennite,332,I213
1707,Avicennite,332/m,Ia3
1710,Avogadrite,2/m2/m2/m,Pbnm
1711,Avogadrite,2/m2/m2/m,Pnma
1713,Awaruite,4/m32/m,Pm3m
1714,Awaruite,4/m32/m,Fm3m
1717,Axelite,4mm,P4bm
1724,Axinite-(Fe),1,P1
1728,Axinite-(Mg),1,P1
1731,Axinite-(Mn),1,P1
1733,Azoproite,2/m2/m2/m,Pbam
1736,Azurite,2/m,P21/c
1737,Babanekite,2/m,C2/m
1739,Babefphite,2mm,Fdd2
1740,Babefphite,1,F1
1745,Babingtonite,1,P1
1759,Backite,322,P312
1761,Badakhshanite-(Y),2/m2/m2/m,Pnma
1762,Badalovite,2/m,C2/c
1766,Baddeleyite,2/m,P21/c
1767,Baddeleyite,2mm,Pbc21
1770,Baddeleyite,2/m2/m2/m,Pbcm
1775,Badengzhuite,6/m2/m2/m,P63/mmc
1777,Bafertisite,m,Cm
1778,Baghdadite,2/m,P21/a
1779,Baghdadite,2/m,P21/c
1781,Bahariyaite,2/m2/m2/m,Pnma
1786,Bahianite,2/m,C2/m
1787,Baileychlore,m,Ib
1788,Bainbridgeite-(YCe),1,P1
1789,Bairdite,2/m,P21/c
1793,Bakhchisaraitsevite,2/m,P21/c
1797,Baksanite,32/m2/m,P3m1
1801,Balangeroite,2/m,P2/n
1802,Balangeroite,1,P1
1804,Balestraite,2,C2
1806,Baliczunicite,1,P1
1809,Balipholite,2/m2/m2/m,Ccca
1811,Balkanite,2/m2/m2/m,Pmmm
1812,Balliranoite,6,P63
1813,Balyakinite,2/m2/m2/m,Pmcn
1815,Bambollaite,4/m2/m2/m,I41/amd
1817,Bamfordite,1,P1
1819,Banalsite,2/m2/m2/m,Ibam
1820,Banalsite,2mm,Iba2
1822,Bandylite,4/m2/m2/m,P4/nmm
1823,Bandylite,4/m,P4/n
1825,Bannermanite,2/m,C2/m
1829,Bannisterite,2/m,A2/a
1831,Baotite,4/m,I41/a
1839,Bararite,32/m2/m,R3m
1840,Bararite,32/m2/m,P3m1
1842,Baratovite,2/m,C2/c
1844,Barberiite,2/m2/m2/m,Pnma
1846,Barberiite,2/m2/m2/m,Pbnm
1850,Barbosalite,2/m,P21/c
1852,Barbosalite,2/m,P21/n
1854,Barentsite,1,P1
1855,Bariandite,2/m,C2/c
1856,Baricite,2/m,C2/m
1861,Barikaite,2/m,P21/n
1865,Barioferrite,6/m2/m2/m,P63/mmc
1874,Bario-olgite,3,P3
1877,Bario-orthojoaquinite,2/m2/m2/m,Ccmm
1880,Barioperovskite,2mm,Amm2
1887,Bariopharmacoalumite,43m,P43m
1888,Bariopharmacoalumite,42m,I42m
1893,Bariopharmacosiderite,42m,P42m
1894,Bariopharmacosiderite,43m,P43m
1896,Bariosincosite,m,Pn
1897,Barlowite,6/m2/m2/m,P63/mmc
1903,Barnesite,2,P21
1904,Barquillite,42m,I42m
1906,Barrerite,2/m2/m2/m,Amma
1911,Barrerite,2/m2/m2/m,Fmmm
1912,Barringerite,62m,P62m
1915,Barringerite,322,P321
1920,Barroisite,2/m,C2/m
1921,Barrotite,3,P31
1922,Barrydawsonite-(Y),2/m,P21/a
1929,Barstowite,2/m,P21/m
1932,Bartelkeite,2/m,P21/m
1936,Bartonite,4/m2/m2/m,I4/mmm
1937,Barwoodite,3,P3
1940,Barylite,2mm,Pmn21
1941,Barylite,m,Pm
1943,Barylite,2mm,Pn21a
1944,Barylite,2/m2/m2/m,Pnma
1948,Barysilite,32/m2/m,R3c
1954,Baryte,2/m2/m2/m,Pnma
1957,Baryte,2/m2/m2/m,Pbnm
1961,Barytocalcite,2,P21
1962,Barytocalcite,2/m,P21/m
1965,Barytolamprophyllite,2/m,C2/m
1968,Bassanite,2,I2
1969,Bassanite,322,P3121
1973,Bassanite,2,C2
1974,Bassanite,322,P3221
1980,Bassanite,2,B2
1987,Bassetite,2/m,P21/m
1990,Bassoite,2/m,P21/m
1996,Bastnasite-(Ce),62m,P62c
1999,Bastnasite-(La),62m,P62m
2000,Bastnasite-(La),62m,P62c
2001,Bastnasite-(Nd),62m,P62c
2003,Batagayite,2,P21
2004,Batievaite-(Y),1,P1
2005,Batiferrite,6/m2/m2/m,P63/mmc
2008,Batisite,2mm,Ima2
2009,Batisite,2/m2/m2/m,Imcm
2010,Batisivite,1,P1
2013,Baumhauerite,1,P1
2017,Baumhauerite II,1,P1
2019,Baumstarkite,1,P1
2025,Bavenite,2/m2/m2/m,Cmcm
2051,Bavsiite,4/m,I4/m
2053,Bayerite,2/m,P21/n
2054,Bayerite,2/m,P21/a
2060,Bayldonite,2/m,C2/c
2061,Bayleyite,2/m,P21/a
2063,Baylissite,2/m,P21/a
2064,Baylissite,2/m,P21/n
2065,Bazhenovite,2/m,P21/c
2069,Bazirite,62m,P6c2
2072,Bazzite,6/m2/m2/m,P6/mcc
2075,Bearsite,2/m,P21/a
2076,Bearthite,2/m,P21/m
2079,Beaverite-(Cu),32/m2/m,R3m
2080,Beaverite-(Zn),32/m2/m,R3m
2082,Bechererite,3,P3
2084,Beckettite,1,P1
2086,Becquerelite,2mm,Pn21a
2089,Becquerelite,3,P3
2090,Bederite,2/m2/m2/m,Pcab
2091,Beershevaite,2/m,P21/m
2092,Behierite,4/m2/m2/m,I41/amd
2095,Behoite,222,P212121
2106,Behounekite,2/m2/m2/m,Pnma
2110,Belakovskiite,1,P1
2113,Belendorffite,3mm,R3m
2116,Belkovite,62m,P62m
2120,Bellbergite,6/m2/m2/m,P63/mmc
2121,Bellidoite,4/m,P42/n
2122,Bellidoite,4/m2/m2/m,P42/nnm
2125,Bellingerite,1,P1
2126,Belloite,2/m,P21/a
2129,Belogubite,1,P1
2130,Belomarinaite,3mm,P3m1
2131,Belousovite,2/m,P21/c
2134,Belovite-(Ce),3,P3
2136,Belovite-(La),3,P3
2137,Bementite,2/m,P21/c
2138,Benauite,32/m2/m,R3m
2140,Benavidesite,2/m,P21/c
2141,Bendadaite,2/m,P21/c
2144,Benitoite,62m,P6c2
2170,Benitoite,3mm,P31c
2203,Benjaminite,2/m,C2/m
2205,Bennesherite,42m,P421m
2208,Benstonite,3,R3
2209,Bentorite,6/m2/m2/m,P63/mmc
2212,Benyacarite,2/m2/m2/m,Pbca
2213,Beraunite,2/m,C2/c
2218,Beraunite,m,Cc
2220,Berborite,322,P321
2221,Berborite,3,P3
2222,Berborite,6,P63
2223,Berborite,3mm,P3c1
2224,Berdesinskiite,2/m,C2/c
2229,Berezanskite,6/m2/m2/m,P6/mcc
2230,Bergenite,2/m,P21/c
2232,Bergslagite,2/m,P21/c
2234,Berlinite,322,P3121
2235,Berlinite,322,P3221
2244,Berlinite,622,P6222
2258,Bermanite,2,P21
2276,Bernalite,2/m2/m2/m,Immm
2277,Bernardite,2/m,P21/c
2278,Bernarlottiite,1,P1
2283,Berndtite,32/m2/m,P3m1
2284,Berryite,2/m,P21/m
2288,Berthierite,2/m2/m2/m,Pnma
2291,Berthierite,2/m2/m2/m,Pnam
2305,Bertossaite,2/m2/m2/m,Imcb
2306,Bertrandite,2mm,Cmc21
2313,Beryl,6/m2/m2/m,P6/mcc
2400,Beryllonite,2/m,P21/n
2404,Berzelianite,43m,F43m
2408,Berzelianite,4/m32/m,Fm3m
2412,Berzelianite,332,F23
2414,Berzeliite,4/m32/m,Ia3d
2418,Beshtauite,2/m,P21/c
2421,Betalomonosovite,1,P1
2423,Betekhtinite,2/m2/m2/m,Immm
2424,Betpakdalite-CaCa,2/m,C2/m
2428,Betpakdalite-CaMg,2/m,C2/m
2431,Betpakdalite-FeFe,2/m,C2/m
2432,Betpakdalite-NaCa,2/m,C2/m
2434,Betpakdalite-NaNa,2/m,C2/m
2435,Bettertonite,2/m,C2/c
2436,Betzite,6,P63
2437,Beudantite,32/m2/m,R3m
2445,Beusite,2/m,P21/c
2453,Beusite-(Ca),2/m,P21/c
2456,Beyerite,2/m2/m2/m,Immm
2458,Biachellaite,3,P3
2459,Biagioniite,m,Pc
2460,Bianchiniite,4/m2/m2/m,I4/mcm
2461,Bianchite,2/m,C2/c
2464,Bicapite,4/m,I4/m
2472,Bicchulite,43m,I43m
2474,Bideauxite,4/m32/m,Fd3m
2477,Bieberite,2/m,P21/c
2486,Biehlite,2/m,C2/c
2487,Bigcreekite,2/m2/m2/m,Pnma
2491,Bijvoetite-(Y),2,B2
2492,Bikitaite,2/m,P21/m
2496,Bikitaite,1,P1
2503,Bikitaite,2,P21
2508,Bilinite,2/m,P21/c
2512,Billietite,2mm,Pbn21
2516,Billingsleyite,332,P213
2518,Billwiseite,2/m,C2/c
2522,Bimbowrieite,2/m,C2/c
2524,Bindheimite,4/m32/m,Fd3m
2526,Biphosphammite,42m,I42d
2531,Biraite-(Ce),2/m,P21/c
2533,Biraite-(La),2/m,P21/c
2534,Birchite,2/m2/m2/m,Pnma
2537,Biringuccite,2/m,P21/c
2538,Birnessite,2/m,C2/m
2541,Birnessite,1,P1
2542,Birnessite,1,C1
2547,Bischofite,2/m,C2/m
2549,Bismite,2/m,P21/c
2551,Bismoclite,4/m2/m2/m,P4/nmm
2558,Bismuth,32/m2/m,R3m
2562,Bismuth,6/m2/m2/m,P63/mmc
2565,Bismuthinite,2/m2/m2/m,Pnma
2587,Bismutite,2mm,Imm2
2588,Bismutocolumbite,2/m2/m2/m,Pnna
2590,Bismutoferrite,m,Cm
2591,Bismutostibiconite,4/m32/m,Fd3m
2592,Bismutotantalite,2/m2/m2/m,Pcnn
2597,Bitikleite,4/m32/m,Ia3d
2599,Bityite,2/m,C2/c
2600,Bityite,m,Cc
2605,Bixbyite-(Fe),332/m,Ia3
2609,Bixbyite-(Mn),332/m,Ia3
2624,Bixbyite-(Mn),332,I213
2644,Bixbyite-(Mn),2/m2/m2/m,Pbca
2650,Bjarebyite,2/m,P21/m
2653,Blatterite,2/m2/m2/m,Pnnm
2654,Bleasdaleite,2/m,C2/m
2657,Blixite,2/m,C2/c
2660,Blodite,2/m,P21/a
2661,Blossite,2mm,Fdd2
2664,Bluebellite,3,R3
2666,Bluelizardite,2/m,C2/c
2669,Bluestreakite,2/m,P21/n
2671,Bobcookite,1,P1
2673,Bobfergusonite,2/m,P21/n
2677,Bobfinchite,2/m2/m2/m,Pbcn
2678,Bobierrite,2/m,C2/m
2680,Bobierrite,2/m,C2/c
2681,Bobjonesite,2/m,P21/n
2685,Bobkingite,2/m,C2/m
2688,Bobmeyerite,2/m2/m2/m,Pnnm
2691,Bobshannonite,1,P1
2693,Bobtraillite,32/m2/m,P3c1
2694,Bodieite,2/m,I2/a
2695,Bogdanovite,4/m32/m,Pm3m
2696,Boggildite,2/m,P21/c
2697,Boggsite,2/m2/m2/m,Imma
2710,Bogvadite,2/m,P21/n
2712,Bohdanowiczite,32/m2/m,P3m1
2714,Bohmite,2/m2/m2/m,Bbmm
2715,Bohmite,2/m2/m2/m,Cmcm
2716,Bohmite,2mm,Cmc21
2717,Bohmite,2/m2/m2/m,Amam
2728,Bohseite,2/m2/m2/m,Cmcm
2730,Bohuslavite,1,P1
2731,Bojarite,4/m32/m,Fd3c
2732,Bokite,2/m,C2/m
2735,Boleite,4/m32/m,Pm3m
2737,Bolotinaite,43m,I43m
2739,Boltwoodite,2/m,P21/m
2740,Boltwoodite,2,P21
2741,Bonaccordite,2/m2/m2/m,Pbam
2743,Bonacinaite,2/m,P21/n
2744,Bonattite,m,Cc
2745,Bonazziite,2/m,C2/c
2760,Bonshtedtite,2/m,P21/m
2764,Boothite,2/m,P21/c
2765,Boracite,2mm,Pca21
2770,Boracite,43m,F43c
2775,Boralsilite,2/m,C2/m
2778,Borax,2/m,C2/c
2784,Borcarite,2/m,C2/m
2785,Borcarite,2/m,A2/m
2786,Borisenkoite,2/m,P21/c
2789,Bornemanite,1,P1
2790,Bornemanite,m,Ib
2794,Bornite,332,F23
2795,Bornite,4/m32/m,Fm3m
2796,Bornite,43m,F43m
2801,Bornite,3mm,R3m
2802,Bornite,2/m2/m2/m,Pbca
2803,Borocookeite,m,Cc
2805,Borodaevite,2/m,C2/m
2807,Boromullite,2mm,Cmc21
2810,Boromuscovite,2/m,C2/c
2811,Boromuscovite,2/m,C2/m
2813,Bortnikovite,4/m2/m2/m,P4/mmm
2814,Bortolanite,1,P1
2815,Boscardinite,1,P1
2817,Bosiite,3mm,R3m
2818,Bosoite,6/m2/m2/m,P6/mmm
2824,Botallackite,2/m,P21/m
2826,Botryogen,2/m,P21/n
2837,Bottinoite,3,P3
2839,Botuobinskite,3,R3
2840,Bouazzerite,2/m,P21/n
2842,Boulangerite,2/m2/m2/m,Pbnm
2851,Boulangerite,2/m2/m2/m,Pnam
2853,Boulangerite,2mm,Bb21m
2854,Boulangerite,2/m,P21/a
2856,Bounahasite,2/m,P21/n
2859,Bournonite,2mm,Pn21m
2860,Bouskaite,1,P1
2864,Boussingaultite,2/m,P21/a
2866,Bowieite,2/m2/m2/m,Pnca
2870,Bowieite,2/m2/m2/m,Pbcn
2871,Bowlesite,2mm,Pca21
2872,Boyleite,2/m,P21/n
2875,Braccoite,1,P1
2879,Bracewellite,2/m2/m2/m,Pbnm
2882,Brackebuschite,2/m,P21/m
2883,Brackebuschite,2/m,B21/m
2885,Bradaczekite,2/m,C2/c
2887,Bradleyite,2/m,P21/m
2889,Braggite,4/m,P42/m
2890,Braithwaiteite,1,P1
2894,Braitschite-(Ce),6/m,P6/m
2896,Brandaoite,1,P1
2897,Brandholzite,3,P3
2899,Brandholzite,32/m2/m,P31m
2902,Brandtite,2/m,P21/c
2906,Brannerite,2/m,C2/m
2907,Brannockite,6/m2/m2/m,P6/mcc
2912,Brassite,2/m2/m2/m,Pbca
2913,Braunerite,2/m,P21/c
2918,Braunite,4/m2/m2/m,I41/acd
2928,Brazilianite,2/m,P21/n
2936,Bredigite,2mm,P2nn
2938,Breithauptite,6mm,P63mc
2939,Breithauptite,6/m2/m2/m,P63/mmc
2941,Brendelite,2/m,C2/m
2943,Brenkite,2/m2/m2/m,Pbcn
2945,Brewsterite-Ba,1,P1
2946,Brewsterite-Ba,2/m,P21/m
2948,Brewsterite-Sr,1,P1
2950,Brewsterite-Sr,2/m,P21/m
2953,Breyite,1,P1
2956,Brezinaite,2/m,I2/m
2957,Brianite,222,P222
2958,Brianite,2/m,P21/a
2959,Brianite,2/m,P21/c
2960,Brianroulstonite,m,Pa
2963,Briartite,42m,I42m
2964,Bridgesite-(Ce),2/m,C2/m
2965,Bridgmanite,2/m2/m2/m,Pnma
2966,Bridgmanite,2/m2/m2/m,Pbnm
3016,Britholite-(Ce),6,P63
3019,Britholite-(Ce),2,P21
3021,Britholite-(Y),2,P21
3024,Britvinite,1,P1
3027,Brizziite,3,R3
3031,Brochantite,2/m,P21/a
3033,Brochantite,2/m,P21/n
3035,Brockite,622,P6222
3036,Brodtkorbite,2/m,P21/n
3039,Bromargyrite,4/m32/m,Fm3m
3045,Bromellite,6mm,P63mc
3064,Brontesite,2/m2/m2/m,Pnma
3069,Brookite,2/m2/m2/m,Pbca
3074,Browneite,43m,F43m
3078,Brownleeite,332,P213
3087,Brownmillerite,2mm,I2mb
3103,Brownmillerite,2mm,Ibm2
3105,Brucite,32/m2/m,P3m1
3142,Brucite,3,P3
3149,Bruggenite,2/m,P21/c
3155,Brunogeierite,4/m32/m,Fd3m
3159,Brushite,m,Ia
3182,Bubnovaite,3mm,P31c
3183,Buchwaldite,2mm,Pmn21
3184,Buchwaldite,2mm,Pn21a
3186,Buckhornite,2/m2/m2/m,Pmmn
3189,Buddingtonite,2/m,C2/m
3201,Bukovite,4/m2/m2/m,I4/mmm
3205,Bukovskyite,1,P1
3207,Bulachite,2/m2/m2/m,Pnma
3208,Bulgakite,1,P1
3210,Bultfonteinite,1,P1
3212,Bunnoite,1,P1
3214,Bunsenite,4/m32/m,Fm3m
3224,Burangaite,2/m,C2/c
3227,Burbankite,6/m2/m2/m,P63/mmc
3231,Burbankite,6mm,P63mc
3235,Burckhardtite,32/m2/m,P31m
3236,Burgessite,222,P2122
3237,Burgessite,2/m,P21/n
3239,Burkeite,2/m2/m2/m,Pmnm
3242,Burnettite,2/m,C2/c
3244,Burnsite,6/m2/m2/m,P63/mmc
3245,Burovaite-Ca,2/m,C2/m
3246,Burpalite,2/m,P21/a
3247,Burroite,1,P1
3249,Burtite,332/m,Pn3
3267,Buryatite,3mm,P31c
3268,Buseckite,6mm,P63mc
3270,Bushmakinite,2/m,P21/m
3272,Bussenite,1,P1
3274,Bussyite-(Ce),2/m,C2/c
3277,Bussyite-(Y),2,C2
3279,Bustamite,1,F1
3280,Bustamite,1,I1
3283,Butianite,4/m2/m2/m,I4/mmm
3284,Butlerite,2/m,P21/m
3289,Butschliite,32/m2/m,R3m
3293,Buttgenbachite,6/m2/m2/m,P63/mmc
3297,Byelorussite-(Ce),222,P212121
3298,Byelorussite-(Ce),2mm,Ama2
3299,Bykovaite,2/m,P2/m
3300,Bykovaite,m,Pb
3301,Byrudite,2/m2/m2/m,Pnma
3304,Bystrite,3mm,P31c
3305,Bystromite,4/m2/m2/m,P42/mnm
3308,Bytizite,2/m2/m2/m,Pnma
3309,Byzantievite,3,R3
3310,Cabalzarite,2/m,C2/m
3314,Cabriite,2/m2/m2/m,Pmmm
3315,Cabvinite,4/m,I4/m
3317,Cacoxenite,6/m,P63/m
3318,Cadmium,6/m2/m2/m,P63/mmc
3321,Cadmoindite,4/m32/m,Fd3m
3325,Cadmoselite,6mm,P63mc
3328,Caesiumpharmacosiderite,43m,P43m
3329,Cafarsite,332/m,Pn3
3337,Cafetite,2/m,P21/n
3338,Cahnite,4,I4
3344,Calamaite,2/m2/m2/m,Ibam
3348,Calaverite,2/m,C2/m
3356,Calaverite,32/m2/m,P3m1
3358,Calaverite,m,Pc
3361,Calciborite,2/m2/m2/m,Pccn
3363,Calcinaksite,1,P1
3364,Calcioancylite-(Ce),2/m2/m2/m,Pmmm
3367,Calcioancylite-(La),2/m2/m2/m,Pmcn
3368,Calcioancylite-(Nd),m,Pm
3369,Calcioandyrobertsite,2/m2/m2/m,Pnma
3373,Calcioaravaipaite,1,C1
3374,Calcioaravaipaite,1,P1
3377,Calcioburbankite,2,P21
3378,Calcioburbankite,2mm,Cmc21
3379,Calcioburbankite,6mm,P63mc
3380,Calciocatapleiite,2/m2/m2/m,Pbnn
3381,Calciocopiapite,1,P1
3382,Calciodelrioite,2/m,I2/a
3385,Calcioferrite,2/m,C2/c
3386,Calciohatertite,2/m,C2/c
3387,Calciohilairite,322,R32
3389,Calciojohillerite,2/m,C2/c
3391,Calciolangbeinite,332,P213
3393,Calciomurmanite,1,P1
3394,Calcio-olivine,2/m2/m2/m,Pbnm
3397,Calciopetersite,6/m,P63/m
3401,Calciotantite,622,P6322
3405,Calcioveatchite,2,P21
