mineral name,point group,space group
Calciodelrioite,2/m,I2/a
Calcioferrite,2/m,C2/c
Calciohatertite,2/m,C2/c
Calciohilairite,322,R32
Calciojohillerite,2/m,C2/c
Calciolangbeinite,332,P213
Calciomurmanite,1,P1
Calciopetersite,6/m,P63/m
Calciotantite,622,P6322
Calcioveatchite,2,P21
Calcite,1; 32/m2/m; 3mm; 32/m2/m,P1; R3c; R3c; R32/c
Calclacite,2/m; 2/m,P21/a; P21/c
Calcybeborosilite-(Y),2/m,P21/a
Calderite,4/m32/m,Ia3d
Calderonite,2/m,P21/m
Caledonite,2mm,Pmn21
Calkinsite-(Ce),222,P21221
Callaghanite,2/m,C2/c
Calomel,4/m2/m2/m,I4/mmm
Calumetite,2/m2/m2/m,Cmcm
Calzirtite,4/m2/m2/m; 2/m2/m2/m,I41/acd; Pbca
Camanchacaite,2/m,C2/c
Camaraite,1,C1
Camaronesite,322,R32
Camerolaite,1; 1,P1; C1
Cameronite,2/m,C2/c
Camgasite,2/m,P21/m
Caminite,4/m2/m2/m,I41/amd
Campigliaite,2,C2
Campostriniite,2/m,C2/c
Canaphite,m,Pc
Canasite,m,Cm
Cancrinite,6,P63
Cancrisilite,6mm,P63mc
Canfieldite,43m,F43m
Cannizzarite,2/m,P21/m
Cannonite,2/m,P21/c
Canosioite,2/m,P21/m
Canutite,2/m,C2/c
Caoxite,1,P1
Capgaronnite,222,P21212
Cappelenite-(Y),3,P3
Capranicaite,2/m,P21/n
Caracolite,6/m; 2/m,P63/m; P21/m
Carboborite,2/m,P21/n
Carbobystrite,3mm,P31c
Carbocalumite,32/m2/m,R3c
Carbocernaite,2mm,Pmc21
Carboirite,1,C1
Carbokentbrooksite,3mm,R3m
Cardite,2/m2/m2/m,Cmcm
Carducciite,2/m,P21/c
Caresite,322,P3112
Carletonite,4/m2/m2/m,P4/mbm
Carletonmooreite,4/m32/m,Pm3m
Carlfrancisite,32/m2/m,R3c
Carlfriesite,2/m,C2/c
Carlgieseckeite-(Nd),3,P3
Carlhintzeite,1; 1,P1; C1
Carlinite,3,R3
Carlosbarbosaite,2/m2/m2/m,Cmcm
Carlosruizite,32/m2/m,P3c1
Carlosturanite,m,Cm
Carlsbergite,4/m32/m,Fm3m
Carlsonite,1,P1
Carmeltazite,2/m2/m2/m,Pnma
Carmichaelite,2/m,P21/c
Carminite,2/m2/m2/m,Cccm
Carnallite,2/m2/m2/m; 2/m2/m2/m,Pnna; Pbnn
Carnotite,2/m,P21/c
Carobbiite,4/m32/m,Fm3m
Carpathite,2/m,P21/a
Carpholite,2/m2/m2/m,Ccca
Carraraite,6/m,P63/m
Carrboydite,32/m2/m,P3m1
Carrollite,4/m32/m,Fd3m
Caryinite,2/m,I2/a
Cascandite,1; 1,P1; C1
Caseyite,2/m,P21/n
Cassagnaite,2/m2/m2/m,Cmcm
Cassidyite,1,P1
Cassiterite,4/m2/m2/m,P42/mnm
Castellaroite,2/m,P21/n
Caswellsilverite,32/m2/m,R3m
Catalanoite,2/m2/m2/m,Ibca
Catamarcaite,6mm,P63mc
Catapleiite,2/m,B2/b
Cattierite,332/m,Pa3
Cattiite,1,P1
Cavansite,2/m2/m2/m; 2/m2/m2/m,Pcmn; Pnma
Cavoite,2/m2/m2/m,Pnam
Cayalsite-(Y),2/m2/m2/m; 2/m,Pban; P2/c
Caysichite-(Y),2mm,Ccm21
Cebaite-(Ce),2/m,C2/m
Cechite,2/m2/m2/m,Pnam
Cejkaite,32/m2/m; 1; m,P3c1; P1; Cc
Celadonite,2/m; 2,C2/m; C2
Celestine,2/m2/m2/m; 2/m2/m2/m,Pnma; Pbnm
Celleriite,3mm,R3m
Celsian,2/m,I2/c
Centennialite,32/m2/m,P3m1
Cerchiaraite-(Al),4/m2/m2/m,I4/mmm
Cerchiaraite-(Fe),4/m2/m2/m,I4/mmm
Cerchiaraite-(Mn),4/m2/m2/m,I4/mmm
Cerianite-(Ce),4/m32/m,Fm3m
Cerite-(Ce),3mm,R3c
Cerium,4/m32/m; 6/m2/m2/m,Fm3m; P63/mmc
Cernyite,42m,I42m
Cerromojonite,2mm,Pn21m
Cerussite,2/m2/m2/m,Pmcn
Cervandonite-(Ce),3mm,R3m
Cervantite,2mm; 2mm,Pna21; Pbn21
Cesanite,6/m; 6,P63/m; P6
Cesarferreiraite,1,P1
Cesbronite,2/m2/m2/m,Pbcn
Cesiodymite,1,P1
Cesiokenopyrochlore,4/m32/m,Fd3m
Cetineite,6,P63
Chabazite-Ca,3; 32/m2/m; 1,R3; R3m; P1
Chabazite-K,3; 32/m2/m,R3; R3m
Chabazite-Mg,3; 32/m2/m,R3; R3m
Chabazite-Na,3; 32/m2/m; 1,R3; R3m; P1
Chabazite-Sr,3; 32/m2/m,R3; R3m
Chabourneite,1,P1
Chaidamuite,1,P1
Chalcanthite,1,P1
Chalcoalumite,2; 2/m,P21; P21/n
Chalcocite,2/m; 6/m2/m2/m; 4/m32/m,P21/c; P63/mmc; Fm3m
Chalcocyanite,2/m2/m2/m,Pnma
Chalcomenite,222,P212121
Chalconatronite,2/m,P21/n
Chalcophanite,3,R3
Chalcophyllite,3,R3
Chalcopyrite,42m; 43m,I42d; F43m
Chalcosiderite,1,P1
Chalcostibite,2/m2/m2/m,Pnma
Chalcothallite,4/m2/m2/m,I4/mmm
Challacolloite,2/m,P21/c
Chambersite,2mm,Pca21
Chamosite,1,C1
Chanabayaite,2/m2/m2/m,Imma
Changbaiite,3mm,R3m
Changchengite,332,P213
Changoite,2/m,P21/a
Chantalite,4/m,I41/a
Chaoite,6/m2/m2/m,P6/mmm
Chapmanite,m,Cm
Charleshatchettite,2/m,C2/c
Charlesite,3mm,P31c
Charmarite,622; 322,P6322; P3112
Charoite,2/m,P21/m
Chatkalite,42m,P4m2
Chayesite,6/m2/m2/m,P6/mcc
Chegemite,2/m2/m2/m,Pbnm
Chekhovichite,2/m,P21/n
Chelkarite,2/m2/m2/m,Pbca
Chenevixite,2,B21
Chengdeite,4/m32/m,Pm3m
Chenite,1,P1
Chenmingite,2/m2/m2/m,Pnma
Cheralite,2/m,P21/n
Cherepanovite,2/m2/m2/m,Pnma
Chernikovite,4/m2/m2/m; 4/m2/m2/m,P4/nmm; P4/ncc
Chernovite-(Y),4/m2/m2/m,I41/amd
Chervetite,2/m,P21/a
Chesnokovite,2/m2/m2/m,Ibca
Chesterite,2mm,A21ma
Chestermanite,2/m2/m2/m,Pbam
Chevkinite-(Ce),2/m,C2/m
Chiappinoite-(Y),2/m2/m2/m,Ibam
Chiavennite,2/m2/m2/m,Pnab
Chibaite,332/m; 4/m; 1,Fd3; I41/a; P1
Chihmingite,4/m32/m,Fd3m
Chihuahuaite,6/m2/m2/m,P63/mmc
Childrenite,2mm; 2/m2/m2/m,Bba2; Bbam
Chinchorroite,1,P1
Chinleite-(Y),322,P3221
Chiolite,4/m2/m2/m,P4/mnc
Chirvinskyite,1,P1
Chivruaiite,2/m2/m2/m,Cmmm
Chiyokoite,6,P63
Chkalovite,2/m2/m2/m; 2mm,Fddd; Fdd2
Chladniite,3,R3
Chloraluminite,32/m2/m,R3c
Chlorapatite,6/m; 2/m,P63/m; P21/b
Chlorargyrite,4/m32/m,Fm3m
Chlorartinite,3mm,R3c
Chlorbartonite,4/m2/m2/m,I4/mmm
Chlorellestadite,6/m,P63/m
Chloritoid,1; 2/m; 1,C1; C2/c; P1
Chlorkyuygenite,43m,I43d
Chlormanganokalite,32/m2/m,R3c
Chlormayenite,43m,I43d
Chloromagnesite,32/m2/m,R3m
Chloromenite,2/m,I2/m
Chlorophoenicite,2/m,C2/m
Chlorothionite,2/m2/m2/m,Pnma
Chloroxiphite,2/m,P21/m
Choloalite,432,P4132
Chondrodite,2/m,P21/b
Chongite,2/m,C2/c
Chopinite,2/m; 2/m,P21/b; P21/c
Chovanite,2/m,C2/m
Chrisstanleyite,2/m,P21/c
Christelite,1,P1
Christite,2/m,P21/n
Christofschaferite-(Ce),2/m,P21/m
Chromatite,4/m2/m2/m,I41/amd
Chrombismite,4/m,I4/m
Chromceladonite,2,C2
Chromferide,4/m32/m,Pm3m
Chromio-pargasite,2/m,C2/m
Chromite,4/m32/m,Fd3m
Chromium,4/m32/m; 6/m2/m2/m; 4/m32/m; 332/m,Fm3m; P63/mmc; Im3m; Pm3
Chromium-dravite,3mm,R3m
Chromo-alumino-povondraite,3mm,R3m
Chromphyllite,2/m,C2/c
Chromschieffelinite,222,C2221
Chrysoberyl,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Chrysothallite,4/m2/m2/m,I4/mmm
Chrysotile,2/m; m,B2/m; Cc
Chubarovite,322,R32
Chudobaite,1,P1
Chukanovite,2/m,P21/a
Chukhrovite-(Ca),332/m,Fd3
Chukhrovite-(Y),332/m,Fd3
Chukochenite,2/m2/m2/m,Imma
Churchite-(Y),2/m,I2/a
Chursinite,2/m,P21/c
Chvaleticeite,2/m,C2/c
Chvilevaite,3mm,P3m1
Cianciulliite,2/m,C2/m
Cinnabar,322; 322,P3121; P3221
Ciprianiite,2/m,P2/a
Ciriottiite,2/m,P21/n
Claraite,1,P1
Claringbullite,6/m2/m2/m,P63/mmc
Clarkeite,32/m2/m,R3m
Claudetite,2/m,P21/n
Clausthalite,4/m32/m,Fm3m
Clearcreekite,2/m,P21/c
Clerite,2/m2/m2/m,Pnam
Cleusonite,3,R3
Cliffordite,332/m,Pa3
Clino-ferri-holmquistite,2/m,C2/m
Clino-oscarkempffite,2/m,P21/c
Clino-suenoite,2/m,C2/m
Clinoatacamite,2/m,P21/n
Clinobehoite,2,P21
Clinobisvanite,2/m; 4/m,I2/b; I41/a
Clinocervantite,2/m,C2/c
Clinochlore,2/m; 1; 2/m,C2/c; C1; C2/m
Clinoclase,2/m,P21/c
Clinoenstatite,2/m,P21/c
Clinoferrosilite,2/m; 2/m,P21/c; C2/c
Clinohedrite,m,Cc
Clinohumite,2/m,P21/b
Clinojimthompsonite,2/m,C2/c
Clinokurchatovite,2/m; 2/m,P21/b; P21/c
Clinometaborite,2/m; 2/m,P21/c; P21/a
Clinophosinaite,2/m,P2/c
Clinoptilolite-Ca,2/m,C2/m
Clinoptilolite-K,2/m,C2/m
Clinoptilolite-Na,2/m,C2/m
Clinosafflorite,2/m; 2/m,P21/c; B21/d
Clinotobermorite,2/m; 1; m,I2/m; C1; Cc
Clinozoisite,2/m,P21/m
Clintonite,2/m,C2/m
Cloncurryite,2/m,P21/c
Coalingite,32/m2/m,R3m
Cobaltarthurite,2/m,P21/c
Cobaltaustinite,222,P212121
Cobaltite,2mm; 332/m,Pca21; Pa3
Cobaltkieserite,2/m,C2/c
Cobaltkoritnigite,1,P1
Cobaltlotharmeyerite,2/m,C2/m
Cobaltneustadtelite,1,P1
Cobaltoblodite,2/m,P21/a
Cobaltomenite,2/m,P21/n
Cobaltpentlandite,4/m32/m,Fm3m
Cobalttsumcorite,2/m,C2/m
Cobaltzippeite,2/m,C2/m
Coccinite,4/m2/m2/m; 4/m2/m2/m,P42/nmc; I41/amd
Cochromite,4/m32/m,Fd3m
Coesite,2/m; 2/m,C2/c; P21/a
Coffinite,4/m2/m2/m,I41/amd
Cohenite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Coiraite,2/m,P2/m
Colemanite,2/m,P21/a
Colimaite,2/m2/m2/m,Pnma
Colinowensite,4/m2/m2/m,I41/acd
Collinsite,1,P1
Colomeraite,2/m,C2/c
Coloradoite,43m; 4/m32/m,F43m; Fm3m
Colquiriite,32/m2/m,P31c
Columbite-(Fe),2/m2/m2/m,Pbcn
Columbite-(Mg),2/m2/m2/m,Pbcn
Columbite-(Mn),2/m2/m2/m,Pbcn
Colusite,43m; 43m,P43n; F43m
Comancheite,2/m2/m2/m,Pnnm
Combeite,32/m2/m; 322; 3,R3m; P3121; P32
Compreignacite,2/m2/m2/m,Pnnm
Congolite,3mm,R3c
Conichalcite,222,P212121
Connellite,6/m2/m2/m; 62m,P63/mmc; P62c
Cookeite,m,Cc
Cooperite,4/m2/m2/m,P42/mmc
Coparsite,2/m2/m2/m,Pbcm
Copiapite,1,P1
Copper,4/m32/m,Fm3m
Coquandite,1,P1
Coquimbite,32/m2/m; 3mm,P31c; P31c
Coralloite,1,P1
Corderoite,332,I213
Cordierite,2/m2/m2/m,Cccm
Cordylite-(Ce),6/m2/m2/m,P63/mmc
Cordylite-(La),6/m2/m2/m,P63/mmc
Corkite,3mm; 32/m2/m,R3m; R3m
Cornetite,2/m2/m2/m,Pbca
Cornubite,1,P1
Cornwallite,2/m,P21/c
Coronadite,2/m,I2/m
Correianevesite,2/m2/m2/m,Pbna
Cortesognoite,2/m2/m2/m,Cmcm
Corundum,32/m2/m,R3c
Corvusite,2/m,C2/m
Cosalite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Coskrenite-(Ce),1,P1
Cossaite,3,R3
Costibite,2mm,Pn21m
Cotunnite,2/m2/m2/m,Pbnm
Coulsonite,4/m32/m,Fd3m
Coutinhoite,2/m2/m2/m,Cmmb
Covellite,6/m2/m2/m; 2/m2/m2/m,P63/mmc; Cmcm
Crandallite,32/m2/m,R3m
Cranswickite,m; 2/m,Cc; C2/c
Crawfordite,2,P21
Crednerite,2/m,C2/m
Creedite,2/m,C2/c
Crerarite,4/m32/m,Fm3m
Crichtonite,3,R3
Crimsonite,2/m2/m2/m,Cccm
Cristobalite,422; 4/m32/m; 222; 2/m; 32/m2/m,P41212; Fd3m; P212121; P21/c; R3c
Crocobelonite,2/m2/m2/m,Pnma
Crocoite,222; 2/m; 2/m2/m2/m,P212121; P21/n; Pnma
Cronstedtite,3; 3mm,R3; P31m
Crookesite,4/m,I4/m
Crowningshieldite,6/m2/m2/m,P63/mmc
Cryobostryxite,2/m,P21/c
Cryolite,2/m; 4/m32/m; 2/m2/m2/m,P21/n; Fm3m; Immm
Cryolithionite,4/m32/m,Ia3d
Cryptochalcite,1,P1
Cryptohalite,4/m32/m,Fm3m
Cryptomelane,2/m; 4/m,I2/m; I4/m
Cryptophyllite,2/m,P21/n
Cualstibite,3,P3
Cuatrocapaite-(K),32/m2/m,P3m1
Cuatrocapaite-(NH4),32/m2/m,P3m1
Cubanite,2/m2/m2/m,Pcmn
Cuboargyrite,4/m32/m,Fm3m
Cubothioplumbite,332/m,Pa3
Cumengeite,4/m2/m2/m,I4/mmm
Cummingtonite,2/m; 2/m,C2/m; P21/m
Cupalite,2/m; 2/m,C2/m; I2/m
Cuprite,4/m32/m; 332/m,Pn3m; Pn3
Cuprobismutite,2/m,C2/m
Cuprodongchuanite,1,P1
Cuproiridsite,4/m2/m2/m; 4/m32/m,I41/amd; Fd3m
Cuprokalininite,4/m32/m,Fd3m
Cupromakopavonite,2/m,C2/m
Cupromakovickyite,2/m,C2/m
Cupromolybdite,2/m2/m2/m,Pnma
Cuproneyite,2/m,C2/m
Cupropearceite,32/m2/m,P3m1
Cupropolybasite,32/m2/m,P3m1
Cuprorhodsite,4/m32/m,Fd3m
Cuprorivaite,4/m2/m2/m,P4/ncc
Cuprosklodowskite,1,P1
Cuprospinel,4/m32/m; 4/m2/m2/m,Fd3m; I41/amd
Cuprostibite,4/m2/m2/m,P4/nmm
Cuprotungstite,422,P41212
Cuprozheshengite,1,P1
Curetonite,2/m,P21/n
Curienite,2/m2/m2/m,Pcan
Curite,2/m2/m2/m,Pnam
Currierite,622,P622
Cuspidine,2/m; 2/m; 2/m,P21/c; P21/n; P21/a
Cyanochroite,2/m; 2/m,P21/a; P21/c
Cylindrite,1; 1; 1,A1; F1; C1
Cymrite,2,P21
Cyprine,4/m,P4/n
Cyrilovite,422,P41212
Czochralskiite,2/m2/m2/m,Pnma
Dachiardite-Ca,2/m,C2/m
Dachiardite-K,2/m,C2/m
Dachiardite-Na,2/m,C2/m
Dadsonite,1,P1
Dagenaisite,2/m,C2/c
Dalnegorskite,1,P1
Dalnegroite,1,P1
Dalyite,1,P1
Damaraite,2mm,Pmc21
Damiaoite,4/m32/m,Fm3m
Danalite,43m,P43n
Danburite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnam
Dansite,43m,I43d
Dansite-(Fe),43m,I43d
Dansite-(Mn),43m,I43d
Dantopaite,2/m,C2/m
Daomanite,m; m,Aa; Cc
Daqingshanite-(Ce),3mm,R3m
Darapiosite,6/m2/m2/m,P6/mcc
Darapskite,2/m,P21/m
Dargaite,32/m2/m,R3m
Darrellhenryite,3mm,R3m
Dashkovaite,2/m,P21/c
Datolite,2/m; 2/m,P21/a; P21/c
Daubreeite,4/m2/m2/m,P4/nmm
Daubreelite,4/m32/m,Fd3m
Davanite,1,P1
Davemaoite,4/m32/m,Pm3m
Davidbrownite-(NH4),2/m,P21/c
Davidite-(La),3,R3
Davidlloydite,1,P1
Davidsmithite,6,P63
Davinciite,3mm,R3m
Davisite,2/m,C2/c
Davreuxite,2/m,P21/m
Davyne,6; 6/m,P63; P63/m
Dawsonite,2/m2/m2/m; 2mm; 2/m2/m2/m,Imma; I2cm; Imam
Deanesmithite,1,P1
Debattistiite,1,P1
Deerite,2/m,P21/a
Defernite,2/m2/m2/m,Pnam
Dekatriasartorite,2/m,P21/c
Delafossite,32/m2/m; 6/m2/m2/m,R3m; P63/mmc
Delhayelite,2/m2/m2/m,Pmmn
Delhuyarite-(Ce),2/m,C2/m
Deliensite,2mm,Pnn2
Delindeite,2/m; 2/m,A2/m; C2/c
Dellagiustaite,4/m32/m,Fd3m
Dellaite,1,P1
Deloneite,6; 3,P63; P3
Deloryite,2/m; 2/m,C2/m; B2/m
Delrioite,2/m,I2/a
Deltalumite,42m,P4m2
Demagistrisite,2mm,Amm2
Demartinite,6mm,P63mc
Demesmaekerite,1,P1
Demicheleite-(Br),2/m2/m2/m,Pnam
Demicheleite-(Cl),2/m2/m2/m,Pnam
Demicheleite-(I),2/m2/m2/m,Pnam
Dendoraite-(NH4),2/m,P21/n
Denningite,4/m2/m2/m,P42/nbc
Depmeierite,6,P63
Derbylite,2/m,P21/m
Derriksite,2mm,Pn21m
Dervillite,2/m; m,P2/a; Pc
Desautelsite,32/m2/m,R3m
Descloizite,222; 2/m2/m2/m,P212121; Pnma
Despujolsite,62m,P62c
Dessauite-(Y),3,R3
Destinezite,1,P1
Deveroite-(Ce),2/m,P21/c
Devilliersite,1,P1
Devilline,2/m,P21/c
Devitoite,1,P1
Dewindtite,2/m2/m2/m,Bmmb
Dewitite,1,P1
Deynekoite,3mm,R3c
Diaboleite,4mm,P4mm
Diamond,4/m32/m; 2/m2/m2/m; 2/m2/m2/m; 2/m2/m2/m; 332/m,Fd3m; Cmma; Cmmm; Pban; Ia3
Diaoyudaoite,6/m2/m2/m,P63/mmc
Diaphorite,2/m,P21/c
Diaspore,2/m2/m2/m,Pbnm
Dickinsonite-(KMnNa),m; 2/m,Cc; A2/a
Dickite,m,Cc
Dickthomssenite,2/m,C2/c
Diegogattaite,2/m,C2/m
Dietrichite,2/m,P21/c
Dietzeite,2/m,P21/c
Digenite,4/m32/m; 32/m2/m,Fm3m; R3m
Dimorphite,2/m2/m2/m,Pnma
Dingdaohengite-(Ce),2/m; 2/m,P21/a; C2/m
Dinite,222,P212121
Diopside,2/m,C2/c
Dioptase,3,R3
Dioskouriite,2/m; 222,P21/c; P212121
Direnzoite,2/m2/m2/m,Pmmn
Dissakisite-(Ce),2/m,P21/m
Dissakisite-(La),2/m,P21/m
Disulfodadsonite,1,P1
Dittmarite,2mm,Pmn21
Diversilite-(Ce),3; 322,R3; R32
Dixenite,3,R3
Djerfisherite,4/m32/m,Pm3m
Djurleite,2/m,P21/n
Dmisokolovite,2/m,C2/c
Dmisteinbergite,6/m2/m2/m,P63/mcm
Dmitryivanovite,2/m,P21/c
Dobrovolskyite,3,R3
Dobsinaite,2/m,P21/c
Dokuchaevite,1,P1
Dolerophanite,2/m,C2/m
Dollaseite-(Ce),2/m,P21/m
Dolomite,3; 32/m2/m,R3; R3c
Doloresite,2/m,C2/m
Domerockite,1,P1
Domeykite,43m,I43d
Domeykite-beta,32/m2/m,P3c1
Donbassite,2,C2
Dongchuanite,1,P1
Donnayite-(Y),1; 3mm,P1; R3m
Donowensite,1,P1
Donpeacorite,2/m2/m2/m,Pbca
Donwilhelmsite,6/m2/m2/m,P63/mmc
Dorallcharite,32/m2/m,R3m
Dorfmanite,2/m2/m2/m,Pbca
Dovyrenite,2/m2/m2/m,Pnnm
Downeyite,4/m2/m2/m,P42/mbc
Doyleite,1,P1
Dozyite,m,Cm
Dravertite,2/m,P21/n
Dravite,3mm; 1,R3m; P1
Drechslerite,1,P1
Dreyerite,4/m2/m2/m,I41/amd
Dritsite,6/m2/m2/m,P63/mcm
Drobecite,2/m,P21/n
Droninoite,32/m2/m,R3m
Drugmanite,2/m,P21/a
Drysdallite,6/m2/m2/m,P63/mmc
Dualite,3mm,R3m
Dufrenite,2/m,C2/c
Dufrenoysite,2,P21
Duftite,222,P212121
Dugganite,322,P321
Dukeite,3mm,P31c
Dumontite,2/m,P21/m
Dumortierite,2/m2/m2/m; 2/m2/m2/m,Pmcn; Pnma
Dundasite,2/m2/m2/m,Pbnm
Durangite,2/m,C2/c
Dusmatovite,6/m2/m2/m,P6/mcc
Dussertite,32/m2/m,R3m
Dutkevichite-(Ce),2mm,Ama2
Dutrowite,3mm,R3m
Duttonite,2/m,I2/c
Dwornikite,2/m,C2/c
Dymkovite,2/m,C2/m
Dyrnaesite-(La),2/m2/m2/m,Pnma
Dyscrasite,2mm; 2mm,Pm2m; Pmm2
Dzhalindite,332/m,Im3
Dzharkenite,332/m,Pa3
Dzhuluite,4/m32/m,Ia3d
Dzierzanowskite,32/m2/m,P3m1
Eakerite,2/m,P21/a
Earlandite,1,P1
Earlshannonite,2/m,P21/c
Ecandrewsite,3,R3
Eckerite,2/m,C2/c
Eckermannite,2/m,C2/m
Eckhardite,2/m,P21/n
Eclarite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pmcn
Ecrinsite,1,P1
Eddavidite,4/m32/m,Fm3m
Edenharterite,2mm,Fdd2
Edgarbaileyite,2/m,C2/m
Edgarite,622,P6322
Edgrewite,2/m,P21/b
Edingtonite,42m; 222,P421m; P21212
Edoylerite,2/m,P21/c
Edscottite,2/m,C2/c
Edtollite,1,P1
Edwardsite,2/m,P21/c
Effenbergerite,4/m2/m2/m,P4/ncc
Efremovite,332,P213
Eglestonite,4/m32/m,Ia3d
Ehrleite,1,P1
Eifelite,6/m2/m2/m,P6/mcc
Eirikite,32/m2/m,P3m1
Eitelite,3,R3
Ekanite,4/m2/m2/m; 422,P4/mcc; I422
Ekatite,6mm,P63mc
Ekebergite,2/m,P2/c
Elasmochloite,2/m,P21/n
Elbaite,3mm,R3m
Elbrusite,4/m32/m,Ia3d
Eldfellite,2/m,C2/m
Eldragonite,2/m2/m2/m,Pmcn
Eleomelanite,2/m,P21/n
Elgoresyite,2/m,C2/m
Eliopoulosite,322,P3221
Eliseevite,2/m,C2/c
Ellenbergerite,6,P63
Ellinaite,2/m2/m2/m,Pnma
Ellingsenite,1,P1
Elliottite,2/m,C2/m
Ellisite,3mm,R3m
Elpasolite,332/m; 4/m32/m,Pa3; Fm3m
Elpidite,2/m2/m2/m,Pbcm
Eltyubyuite,43m,I43d
Elyite,2/m,P21/c
Embreyite,2/m,P21/m
Emeleusite,2/m2/m2/m,Acam
Emilite,2mm,Pmc21
Emmerichite,2/m,C2/m
Emmonsite,1,P1
Emplectite,2/m2/m2/m,Pnma
Empressite,6/m2/m2/m; 2/m2/m2/m,P6/mmm; Pmnb
Enargite,2mm; 2mm,Pnm21; Pmn21
Engelhauptite,6/m2/m2/m,P63/mmc
Englishite,2/m,A2/a
Enneasartorite,2/m,P21/c
Enstatite,2/m2/m2/m; 2/m; 2/m,Pbca; C2/c; P21/c
Eosphorite,2/m2/m2/m; 2/m2/m2/m,Bbam; Cmca
Ephesite,1,C1
Epididymite,2/m2/m2/m; 2/m2/m2/m,Pnam; Pnma
Epidote,2/m,P21/m
Epidote-(Sr),2/m,P21/m
Epifanovite,2/m,P21/m
Epistilbite,2/m; 1,C2/m; C1
Epistolite,1,P1
Epsomite,222,P212121
Erazoite,32/m2/m,R3m
Ercitite,2/m2/m2/m,Cmca
Erdite,2/m,C2/c
Ericaite,2mm,Pca21
Ericlaxmanite,1,P1
Ericssonite,2/m; 2/m2/m2/m; 2/m2/m2/m,C2/m; Immm; Pnmn
Erikapohlite,2/m,C2/c
Erikjonssonite,2/m,C2/c
Eringaite,4/m32/m,Ia3d
Eriochalcite,2/m2/m2/m,Pbmn
Erionite-Ca,6/m2/m2/m,P63/mmc
Erionite-K,6/m2/m2/m,P63/mmc
Erionite-Na,6/m2/m2/m,P63/mmc
Erlichmanite,332/m,Pa3
Ermakovite,6/m2/m2/m,P6/mmm
Ernienickelite,3,R3
Erniggliite,3,P3
Ernstburkeite,3,R3
Ernstite,2/m2/m2/m,Bbam
Ershovite,1,P1
Erssonite,32/m2/m,P3c1
Erythrite,2/m,C2/m
Erythrosiderite,2/m2/m2/m,Pnma
Erzwiesite,2/m2/m2/m,Cmcm
Esdanaite-(Ce),222,P212121
Eskebornite,42m,P42c
Eskolaite,32/m2/m,R3c
Espadaite,2/m2/m2/m,Ccca
Esperanzaite,2/m,P21/m
Esperite,2/m,P21/n
Esquireite,2,C2
Esseneite,2/m,C2/c
Ettringite,3mm; 6/m2/m2/m,P31c; P63/mcm
Eucairite,2/m2/m2/m; 4/m2/m2/m,Pmmn; P4/nmm
Euchlorine,2/m,C2/c
Euchroite,222,P212121
Euclase,2/m; 2/m,P21/a; P21/c
Eucryptite,3; 622,R3; P6422
Eudialyte,32/m2/m; 3mm,R3m; R3m
Eudidymite,2/m,C2/c
Eugenite,4/m32/m,Fm3m
Eulytine,43m,I43d
Euxenite-(Y),2/m2/m2/m,Pbcn
Evdokimovite,2/m,P21/n
Eveite,2/m2/m2/m,Pnnm
Evenkite,2/m; 2/m2/m2/m,P21/a; Pbcm
Eveslogite,2/m,P2/m
Evseevite,2/m2/m2/m,Pbcn
Ewaldite,6mm,P63mc
Ewingite,4/m2/m2/m,I41/acd
Eylettersite,32/m2/m,R3m
Ezcurrite,1,P1
Fabianite,2/m,P21/a
Fabriesite,2mm,Pna21
Faheyite,322,P3121
Fairbankite,1,P1
Fairchildite,6/m2/m2/m,P63/mmc
Fairfieldite,1,P1
Faizievite,1,P1
Falgarite,2/m,C2/c
Falottaite,2/m2/m2/m,Acaa
Falsterite,2/m,P21/c
Famatinite,42m,I42m
Fanfaniite,2/m,C2/c
Fangite,2/m2/m2/m,Pnma
Fantappieite,3,P3
Farneseite,6/m,P63/m
Farringtonite,2/m,P21/n
Fassinaite,2/m2/m2/m,Pnma
Faujasite-Ca,4/m32/m,Fd3m
Faujasite-Na,4/m32/m; 332/m,Fd3m; Fd3
Faustite,1,P1
Favreauite,4/m,P4/n
Fayalite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Fedorite,1,P1
Fedorovskite,2/m2/m2/m,Pbam
Fedotovite,2/m,C2/c
Fehrite,2/m,P21/c
Feiite,2/m2/m2/m,Cmcm
Feitknechtite,32/m2/m,P3m1
Feklichevite,3mm,R3m
Felbertalite,2/m,C2/m
Felsobanyaite,2,P21
Fenaksite,1,P1
Fencooperite,3mm,P3m1
Fengchengite,32/m2/m,R3m
Feodosiyite,2/m,P21/c
Ferberite,2/m,P2/c
Ferchromide,4/m32/m,Pm3m
Ferdowsiite,2/m,P21/n
Fergusonite-(Ce),4/m,I41/a
Fergusonite-(Y),4/m; 2,I41/a; I2
Fergusonite-(Y)-beta,2/m,I2/a
Fermiite,2mm,Pmn21
Fernandinite,2/m,C2/m
Feroxyhyte,32/m2/m,P3m1
Ferraioloite,2/m,I2/m
