mineral name,point group,space group
Ancylite-(Ce),2mm; 2/m2/m2/m,Pmc21; Pmcn
Ancylite-(La),2/m2/m2/m,Pmcn
Andalusite,2/m2/m2/m,Pnnm
Andersonite,32/m2/m,R3m
Andorite IV,2mm; 2/m,Pm2a; P21/c
Andorite VI,2mm; 2/m2/m2/m,Pn21a; Bbmm
Andradite,4/m32/m; 1,Ia3d; I1
Andreadiniite,2/m,P21/c
Andremeyerite,2/m2/m2/m; 2/m,Bmcb; P21/c
Andreyivanovite,2/m2/m2/m,Pnma
Andrianovite,32/m2/m; 3mm,R3m; R3m
Anduoite,2/m2/m2/m,Pnnm
Andychristyite,1,P1
Andymcdonaldite,4/m2/m2/m,P42/mnm
Andyrobertsite,2/m,P21/m
Angarfite,222,C2221
Angastonite,1,P1
Angelaite,2/m2/m2/m,Pnma
Angelellite,1,P1
Anglesite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pbnm
Anhydrite,2/m2/m2/m; 622; 222; 2/m2/m2/m; 2/m2/m2/m,Bmmb; P6222; C222; Bbmm; Amma
Anhydrokainite,3,R3
Anilite,2/m2/m2/m,Pnma
Ankerite,3,R3
Ankinovichite,2/m,P21/n
Annabergite,2/m,C2/m
Annite,2/m,C2/m
Anorpiment,1,P1
Anorthite,1; 1; 1,P1; I1; C1
Anorthominasragrite,1,P1
Ansermetite,2/m,C2/c
Antarcticite,322,P321
Anthoinite,1,I1
Anthophyllite,2/m2/m2/m,Pnma
Antigorite,m; 2/m,Pm; C2/m
Antimonselite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Antimony,32/m2/m; 6/m2/m2/m; 4/m32/m; 4/m32/m; 4/m2/m2/m; 4/m32/m,R3m; P63/mmc; Pm3m; Fm3m; I4/mmm; Im3m
Antipinite,1,P1
Antlerite,2/m2/m2/m,Pnma
Antofagastaite,2/m,P21/m
Anyuiite,4/m2/m2/m,I4/mcm
Anzaite-(Ce),2/m,C2/m
Apexite,1,P1
Aphthitalite,32/m2/m,P3m1
Apjohnite,2/m,P21/c
Aplowite,2/m,P21/n
Apuanite,4/m2/m2/m,P42/mbc
Aqualite,3,R3
Aradite,32/m2/m,R3m
Aragonite,2/m2/m2/m,Pmcn
Arakiite,m,Cc
Aramayoite,1,P1
Arangasite,2/m; 2,P2/a; P21
Arapovite,4/m2/m2/m,P4/mcc
Aravaipaite,2/m; 1,P21/n; P1
Aravaite,32/m2/m,R3m
Arcanite,2/m2/m2/m,Pnam
Archerite,42m; 2mm; 42m,I42d; Fdd2; F4d2
Arctite,32/m2/m,R3m
Ardealite,m,Cc
Ardennite-(As),2/m2/m2/m,Pnmm
Ardennite-(V),2/m2/m2/m,Pnmm
Arfvedsonite,2/m,C2/m
Argandite,2/m,P21/n
Argentodufrenoysite,1,P1
Argentojarosite,32/m2/m,R3m
Argentoliveingite,1,P1
Argentopearceite,322,P321
Argentopentlandite,4/m32/m,Fm3m
Argentopolybasite-T2ac,322,P321
Argentopyrite,2/m,P21/n
Argentotennantite-(Zn),43m,I43m
Argentotetrahedrite-(Fe),43m,I43m
Argentotetrahedrite-(Hg),43m,I43m
Argentotetrahedrite-(Zn),43m,I43m
Argesite,32/m2/m,R3c
Argutite,4/m2/m2/m,P42/mnm
Argyrodite,2mm,Pna21
Arhbarite,1,P1
Ariegilatite,32/m2/m,R3m
Arisite-(Ce),62m,P6m2
Arisite-(La),62m,P6m2
Aristarainite,2/m,P21/a
Armalcolite,2/m2/m2/m,Bbmm
Armangite,3,P3
Armbrusterite,2/m,C2/m
Armellinoite-(Ce),4/m,I41/a
Armenite,2/m2/m2/m; 2mm,Pnna; Pnc2
Armstrongite,2/m; 2,C2/m; C2
Arrheniusite-(Ce),3mm,R3m
Arrojadite-(BaNa),2/m,C2/c
Arrojadite-(KFe),2/m; 2/m; 2/m,B2/b; A2/a; C2/c
Arrojadite-(KNa),m,Cc
Arrojadite-(PbFe),m,Cc
Arrojadite-(SrFe),m,Cc
Arsenatrotitanite,2/m,C2/c
Arsenbrackebuschite,2/m,P21/m
Arsendescloizite,222,P212121
Arsenic,32/m2/m,R3m
Arseniopleite,2/m,I2/a
Arseniosiderite,2/m,A2/a
Arsenmarcobaldiite,1,P1
Arsenmedaite,2/m,P21/n
Arsenoclasite,222,P212121
Arsenocrandallite,32/m2/m,R3m
Arsenoflorencite-(Ce),3mm,R3m
Arsenoflorencite-(La),32/m2/m,R3m
Arsenogorceixite,32/m2/m,R3m
Arsenogoyazite,32/m2/m,R3m
Arsenohauchecornite,4/m2/m2/m; 4/m2/m2/m,P4/mmm; I4/mmm
Arsenohopeite,2/m2/m2/m,Pnma
Arsenolamprite,2/m2/m2/m,Bmab
Arsenolite,4/m32/m,Fd3m
Arsenopalladinite,1,P1
Arsenopyrite,2/m; 2/m; 2/m; 1,B21/d; C21/d; P21/c; P1
Arsenotucekite,4/m2/m2/m,I4/mmm
Arsenovanmeersscheite,2mm,P21mn
Arsenoveszelyite,2/m,P21/c
Arsenowagnerite,2/m,P21/c
Arsenquatrandorite,2/m,P21/c
Arsentsumebite,2/m,P21/m
Arsenudinaite,42m,I42d
Arsenuranospathite,2/m2/m2/m; 4/m,Pmmm; P42/n
Arsenuranylite,2/m2/m2/m,Bmmb
Arsiccioite,42m,I42m
Arsmirandite,2/m,C2/m
Arthurite,2/m,P21/c
Artinite,2/m,C2/m
Artroeite,1,P1
Artsmithite,2/m,C2/c
Arupite,2/m; 2/m,I2/m; C2/m
Asbecasite,32/m2/m,P3c1
Aschamalmite,2/m,C2/m
Ashburtonite,4/m,I4/m
Ashcroftine-(Y),4/m2/m2/m,I4/mmm
Ashoverite,4/m2/m2/m,I41/amd
Asimowite,2/m2/m2/m,Imma
Asisite,4/m2/m2/m,I4/mmm
Askagenite-(Nd),2/m,P21/m
Aspedamite,332/m,Im3
Aspidolite,2/m; 1,C2/m; C1
Asselbornite,4/m32/m,Im3m
Astrophyllite,1; 2/m; 1,P1; C2/m; A1
Atacamite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pnam
Atelestite,2/m,P21/c
Atelisite-(Y),42m,I42d
Atencioite,1,P1
Atheneite,6/m2/m2/m; 62m,P6/mmm; P62m
Atlasovite,4/m2/m2/m,P4/ncc
Atokite,4/m32/m; 4/m32/m,Pm3m; Fm3m
Attakolite,2/m,C2/m
Aubertite,1,P1
Auerbakhite,2/m2/m2/m,Cmca
Augelite,2/m,C2/m
Augite,2/m,C2/c
Auriacusite,2/m2/m2/m,Pnnm
Aurichalcite,2/m,P21/m
Auricupride,4/m32/m,Pm3m
Aurihydrargyrumite,6/m2/m2/m,P63/mcm
Aurivilliusite,2/m,C2/c
Aurorite,3,R3
Aurostibite,332/m,Pa3
Austinite,222,P212121
Autunite,2/m2/m2/m,Pnma
Avdeevite,6/m2/m2/m,P6/mcc
Averievite,3,P3
Avicennite,332; 332/m,I213; Ia3
Avogadrite,2/m2/m2/m; 2/m2/m2/m,Pbnm; Pnma
Awaruite,4/m32/m; 4/m32/m,Pm3m; Fm3m
Axelite,4mm,P4bm
Axinite-(Fe),1,P1
Axinite-(Mg),1,P1
Axinite-(Mn),1,P1
Azoproite,2/m2/m2/m,Pbam
Azurite,2/m,P21/c
Babanekite,2/m,C2/m
Babefphite,2mm; 1,Fdd2; F1
Babingtonite,1,P1
Backite,322,P312
Badakhshanite-(Y),2/m2/m2/m,Pnma
Badalovite,2/m,C2/c
Baddeleyite,2/m; 2mm; 2/m2/m2/m,P21/c; Pbc21; Pbcm
Badengzhuite,6/m2/m2/m,P63/mmc
Bafertisite,m,Cm
Baghdadite,2/m; 2/m,P21/a; P21/c
Bahariyaite,2/m2/m2/m,Pnma
Bahianite,2/m,C2/m
Baileychlore,m,Ib
Bainbridgeite-(YCe),1,P1
Bairdite,2/m,P21/c
Bakhchisaraitsevite,2/m,P21/c
Baksanite,32/m2/m,P3m1
Balangeroite,2/m; 1,P2/n; P1
Balestraite,2,C2
Baliczunicite,1,P1
Balipholite,2/m2/m2/m,Ccca
Balkanite,2/m2/m2/m,Pmmm
Balliranoite,6,P63
Balyakinite,2/m2/m2/m,Pmcn
Bambollaite,4/m2/m2/m,I41/amd
Bamfordite,1,P1
Banalsite,2/m2/m2/m; 2mm,Ibam; Iba2
Bandylite,4/m2/m2/m; 4/m,P4/nmm; P4/n
Bannermanite,2/m,C2/m
Bannisterite,2/m,A2/a
Baotite,4/m,I41/a
Bararite,32/m2/m; 32/m2/m,R3m; P3m1
Baratovite,2/m,C2/c
Barberiite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pbnm
Barbosalite,2/m; 2/m,P21/c; P21/n
Barentsite,1,P1
Bariandite,2/m,C2/c
Baricite,2/m,C2/m
Barikaite,2/m,P21/n
Bario-olgite,3,P3
Bario-orthojoaquinite,2/m2/m2/m,Ccmm
Barioferrite,6/m2/m2/m,P63/mmc
Barioperovskite,2mm,Amm2
Bariopharmacoalumite,43m; 42m,P43m; I42m
Bariopharmacosiderite,42m; 43m,P42m; P43m
Bariosincosite,m,Pn
Barlowite,6/m2/m2/m,P63/mmc
Barnesite,2,P21
Barquillite,42m,I42m
Barrerite,2/m2/m2/m; 2/m2/m2/m,Amma; Fmmm
Barringerite,62m; 322,P62m; P321
