,symmetry_index,mineral_count,MODE,Mode Description,STAGE (min),STAGE (max),AGE (min) Ga,AGE (max) Ga,AGE (average) Ga,Temp (min) K,Temp (max) K,Temp (average) K,P (min) log Pa,P (max) log Pa,P (average log Pa),DUR (min) log Yr,DUR (max) log Yr,DUR (average log Yr),# Minerals,# Elements,Aqueous?,Biotic?,ChemIG Atom,ChemIG Total,StrIG Atom,StrIG Total,Hardness (HoM),Hardness (Web Max),Hardness (Average),Calc Density (gm/cm3),Web Density (gm/cm3),Density (Average)
0,0.6180555555555556,24,p01,Stellar condensation,0,0,7.0,4.6,5.8,1000,3000,2000,1,3,2.0,0,6,3.0,22,16,0,0,0.775,5.21,1.247,37.32,6.0,6.3333333333333,6.17,5.7582272727273,,5.96
1,0.41041666666666665,50,p03,Solar nebula condensation,1,1,4.566,4.566,4.566,1100,1800,1450,-1,3,1.0,0,6,3.0,48,24,0,0,1.168,13.63,2.138,103.55,6.85,6.8181818181818,6.83,5.09325,3.6128571428571,4.35
2,0.45,55,p04,Primary chondrule phases,1,1,4.566,4.561,4.564,1000,1500,1250,1,3,2.0,0,4,2.0,47,20,0,0,1.17,14.83,2.084,89.43,5.7,5.304347826087,5.5,4.1772631578947,3.05875,3.62
3,0.46772875816993464,102,p05,Primary asteroid phases,2,2,4.566,4.56,4.563,1000,1500,1250,3,8,5.5,0,6,3.0,94,24,0,0,1.234,23.15,2.197,110.17,5.5806451612903,5.3947368421053,5.49,4.216,3.4095238095238,3.81
4,0.4016362252663622,219,p06,Secondary asteroid phases,2,2,4.565,4.55,4.561,200,1000,600,3,8,5.5,0,6,3.0,205,37,1,0,1.304,26.79,2.308,139.99,4.9233333333333,4.8287671232877,4.88,4.507357615894,3.1810810810811,3.84
5,0.4224877450980392,136,p07,Ultramafic igneous rocks,3,5,4.56,0.0,2.28,1300,2000,1650,5,9,7.0,0,3,1.5,123,44,0,0,1.357,28.82,2.312,113.86,5.6071428571429,5.5,5.54,5.7721063829787,3.334347826087,4.55
6,0.36529126213592233,103,p08,Mafic igneous rocks,3,5,4.56,0.0,2.28,1100,1700,1400,5,9,7.0,0,3,1.5,93,28,0,0,1.631,51.37,2.948,172.39,5.5058139534884,5.5294117647059,5.52,3.9515942028986,3.3506451612903,3.65
7,0.2991898148148148,144,p09,Xenolith pyrometamorphism,3,10,4.56,0.0,2.28,1100,1700,1400,5,5,5.0,-1,2,0.5,127,35,0,0,1.64,73.8,3.446,331.27,5.2327586206897,5.1702127659574,5.2,3.0283055555556,2.9810638297872,3.0
8,0.25333333333333335,125,p10,Basalt-hosted zeolite minerals,3,10,4.56,0.0,2.28,300,700,500,5,5,5.0,0,1,0.5,107,26,0,0,1.714,161.88,3.955,705.26,4.9230769230769,4.5394736842105,4.73,2.5306086956522,2.4724324324324,2.5
9,0.35010162601626016,41,p11,Reduced fumarole minerals ,3,10,4.56,2.5,3.53,400,1000,700,5,5,5.0,-2,-1,-1.5,36,22,0,0,1.163,14.374,2.158,76.66,3.359375,3.3235294117647,3.34,5.6148965517241,4.815,5.22
